Number,Name,Comments,Merged,State,Labels,Created,Closed,Commit,Files,Url
14215,#14215_add_support_tmc2209,1,False,closed,"['PR: New Feature', 'F: Trinamic']",2019-06-04 03:25:15+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/14215
14225,#14225_Add_G81_and_G83_drilling_cycles,8,False,open,"['PR: New Feature', 'C: Motion', 'F: CNC / Laser']",2019-06-05 07:37:08+00:00,Not yet closed,Unknown,[],https://github.com/MarlinFirmware/Marlin/pull/14225
15733,#15733_Add_Trinamic_TMC5161_stepper_driver_support,12,False,closed,"['PR: New Feature', 'F: Trinamic']",2019-10-30 21:39:09+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/15733
16209,#16209_Stored_macros_and_M98_(RepRapFirmware),0,False,open,"['PR: New Feature', 'C: Hosts & Protocols']",2019-12-13 01:07:53+00:00,Not yet closed,Unknown,[],https://github.com/MarlinFirmware/Marlin/pull/16209
16557,#16557_Added_G60_G61_gcodes,16,False,closed,"['PR: New Feature', 'C: G-code Parser']",2020-01-13 19:37:11+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/16557
16579,#16579_STEVAL_3DP001V1__Fix_missing_file_&_onboard_SD_with_STM32_soft_SPI,4,False,closed,"['PR: Improvement', 'PR: New Feature', 'PR: Bug Fix', 'T: HAL & APIs', 'A: STM32']",2020-01-15 16:35:32+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/16579
16669,#16669_Faster_time_to_temperature_for_extruder_(intentional_overshoot),10,False,closed,"['PR: Improvement', 'PR: New Feature', 'Needs: Discussion']",2020-01-25 05:06:30+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/16669
16963,#16963_Feed_forward_hotend_regulator_(so_far),17,False,closed,"['Needs: Testing', 'PR: New Feature']",2020-02-25 09:32:26+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/16963
17283,"#17283_Drilling_Cycles,_5-Axis_(non-modal_&_w_out_RTCP)",2,False,closed,"['PR: New Feature', 'C: Motion', 'F: CNC / Laser']",2020-03-24 22:14:09+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/17283
17503,#17503_Add_filament_change_button,5,False,closed,['PR: New Feature'],2020-04-12 15:02:44+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/17503
17586,#17586_User_interface_pins,12,False,closed,['PR: New Feature'],2020-04-17 19:28:30+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/17586
17930,#17930_Continuous_print___Unbed_Auto_feature_(in_test),20,False,closed,"['PR: New Feature', 'T: Design Concept', 'help wanted']",2020-05-09 20:25:00+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/17930
18687,#18687_User-configurable_Temperature_Offsets,6,False,closed,"['PR: New Feature', 'PR: Configurations']",2020-07-18 05:21:56+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/18687
18987,#18987_Universal_Z_offset_setting,17,False,open,"['PR: New Feature', 'F: Calibration']",2020-08-10 20:53:29+00:00,Not yet closed,Unknown,[],https://github.com/MarlinFirmware/Marlin/pull/18987
19111,#19111_M20_L___Long_filename_SD_list,7,False,closed,"['PR: New Feature', 'T: Suggestion', 'F: SD Card / Media']",2020-08-22 12:30:33+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/19111
19831,#19831_Add_feature_PSU_POWER_Action_gcode,1,False,closed,"['PR: New Feature', 'S: Superseded', 'C: Peripherals']",2020-10-21 08:47:34+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/19831
19958,#19958_Creality_CR-6_SE,66,False,open,"['Needs: Testing', 'C: Boards/Pins', 'PR: New Feature', 'F: Z-Probes']",2020-10-30 06:50:05+00:00,Not yet closed,Unknown,[],https://github.com/MarlinFirmware/Marlin/pull/19958
21158,#21158_Add_LED_strip_UI_menu_in_LVGL,11,False,closed,"['Needs: Work', 'PR: New Feature', 'C: LCD & Controllers']",2021-02-22 00:17:33+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/21158
21494,#21494_Add_unit_tests_to_Marlin,11,False,closed,"['PR: New Feature', 'C: Build / Toolchain']",2021-03-31 18:00:08+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/21494
21602,#21602_Unknown_gcode_handling,7,False,closed,"['PR: New Feature', 'C: G-code Parser']",2021-04-12 17:14:52+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/21602
22005,#22005_Wait_for_Bed_Expansion_[wip],3,False,closed,"['Needs: Work', 'PR: New Feature', 'F: Calibration', 'C: Temperatures']",2021-05-30 22:13:16+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/22005
22089,#22089_Restore_leveling_after_G28_XY,2,False,closed,"['PR: New Feature', 'F: Calibration']",2021-06-09 08:47:07+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/22089
22211,#22211_MarlinUI_for_Creality_DWIN_(ie__Ender_3_v2),112,False,closed,"['Needs: Testing', 'PR: New Feature', 'Needs: Discussion', 'C: LCD & Controllers', 'C: User Interface']",2021-06-23 19:26:50+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/22211
23136,"#23136_Display_flow_rate_instead_of_feedrate_(DOGM,_Classic_UI)",13,False,closed,"['PR: New Feature', 'C: LCD & Controllers']",2021-11-15 16:10:10+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/23136
23167,#23167_X-Axis_twist_compensation__Software_fix_using_a_mesh_for_z-probe-offset,15,False,closed,"['PR: New Feature', 'F: Calibration']",2021-11-21 18:48:57+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/23167
