Number,Name,Comments,State,Labels,Created,Closed,Url
14637,#14637_How_to_move_this_custom_code_to_marlin_2_0,8,closed,['PR: New Feature'],2019-07-16 00:45:37+00:00,2019-07-21 20:01:16+00:00,https://github.com/MarlinFirmware/Marlin/issues/14637
18129,#18129_Support_for_TFT_and_touch_screen_-_need_feedback_and_testing,144,closed,"['PR: New Feature', 'C: LCD & Controllers']",2020-05-27 08:50:34+00:00,2020-11-04 18:12:07+00:00,https://github.com/MarlinFirmware/Marlin/issues/18129
